study,phase,mechanism,attempt_id,pair_index,arm,request_id,group_id,family,expected,output,correct,status,finish_reason,prompt_tokens,generated_tokens,dispatch_completion_s,decision,retained_records,symbolic_answer_preserved,closure_records,max_retained_position_permille,min_retained_position_permille,overwritten_writes,total_records
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,U,False,SUCCEEDED,eos,149,2,11.844862388,IDENTITY,,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,G,False,SUCCEEDED,eos,150,2,12.110291652,IDENTITY,,True,3,857,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DITEI,False,SUCCEEDED,eos,154,4,13.650037822,IDENTITY,,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DXEDM,True,SUCCEEDED,eos,147,4,13.178518068,IDENTITY,,True,3,1000,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,B,False,SUCCEEDED,eos,149,2,11.844978808,IDENTITY,,True,3,857,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,BFMU,False,SUCCEEDED,eos,141,4,12.588361387,IDENTITY,,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,"I
Explanation:
- DTRXC is initially referenced to DCFYR.
- DCFYR is then referenced to DEHCO.
- DE",False,SUCCEEDED,limit,147,32,30.987628065,IDENTITY,,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DMDUF,False,SUCCEEDED,eos,147,4,13.115051722,IDENTITY,,True,3,1000,285,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,U,False,SUCCEEDED,eos,149,2,11.972956812,IDENTITY,,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,G,False,SUCCEEDED,eos,150,2,11.980846161,IDENTITY,,True,3,857,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DITEI,False,SUCCEEDED,eos,154,4,13.628009365,IDENTITY,,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DXEDM,True,SUCCEEDED,eos,147,4,13.064058485,IDENTITY,,True,3,1000,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,B,False,SUCCEEDED,eos,108,2,8.771954891,CERTIFIED_SLICE,3,True,3,857,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,B,False,SUCCEEDED,eos,103,2,8.453827045,CERTIFIED_SLICE,3,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,R,False,SUCCEEDED,eos,109,2,8.934706844,CERTIFIED_SLICE,3,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DPCYN,True,SUCCEEDED,eos,109,4,10.312026502,CERTIFIED_SLICE,3,True,3,1000,285,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,U,False,SUCCEEDED,eos,107,2,8.870167173,CERTIFIED_SLICE,3,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,DLYDZ,True,SUCCEEDED,eos,108,5,10.976202661,CERTIFIED_SLICE,3,True,3,857,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,H,False,SUCCEEDED,eos,113,2,9.25730593,CERTIFIED_SLICE,3,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,J,False,SUCCEEDED,eos,107,2,8.803815199,CERTIFIED_SLICE,3,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,DBBRP,False,SUCCEEDED,eos,149,4,1.028567954,IDENTITY,,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DGGZZ,False,SUCCEEDED,eos,141,4,0.999690189,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DTRXC,False,SUCCEEDED,eos,147,4,1.010563738,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DUXQO,False,SUCCEEDED,eos,147,5,1.020866666,IDENTITY,,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DGGGY,False,SUCCEEDED,eos,149,4,1.021898145,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,DLYDZ,True,SUCCEEDED,eos,150,5,1.041801504,IDENTITY,,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DZQZI,False,SUCCEEDED,eos,154,6,1.07845203,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DUFNX,False,SUCCEEDED,eos,147,4,1.00992473,IDENTITY,,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,VALUE DCQQB DZQRB,False,SUCCEEDED,eos,209,9,1.505688856,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DTSBO,False,SUCCEEDED,eos,201,4,1.533454743,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DFJCC,False,SUCCEEDED,eos,207,4,1.354753682,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,VALUE DUXQO DDRLY,False,SUCCEEDED,eos,207,9,1.497451711,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DZFVY,False,SUCCEEDED,eos,209,5,1.448696375,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,VALUE DXTUX,False,SUCCEEDED,eos,210,5,1.39587718,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,VALUE DZQZI DOEEQ,False,SUCCEEDED,eos,214,10,1.528256843,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,VALUE DGCJK,False,SUCCEEDED,eos,207,5,1.346940376,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,VALUE DCQQB DZQRB,False,SUCCEEDED,eos,209,9,1.475347177,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DTSBO,False,SUCCEEDED,eos,201,4,1.301562302,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DFJCC,False,SUCCEEDED,eos,207,4,1.338225402,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,VALUE DUXQO DDRLY,False,SUCCEEDED,eos,207,9,1.47308541,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DZFVY,False,SUCCEEDED,eos,209,5,1.370213223,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,VALUE DXTUX,False,SUCCEEDED,eos,210,5,1.376162581,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,VALUE DZQZI DOEEQ,False,SUCCEEDED,eos,214,10,1.53486695,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,VALUE DGCJK,False,SUCCEEDED,eos,207,5,1.372615312,EXPLICIT_GRAMMAR_RESTATEMENT,8,True,3,1000,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,DBBRP,False,SUCCEEDED,eos,149,4,0.979901072,IDENTITY,,True,3,857,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,DGGZZ,False,SUCCEEDED,eos,141,4,0.931318037,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,DTRXC,False,SUCCEEDED,eos,147,4,0.970169828,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DUXQO,False,SUCCEEDED,eos,147,5,1.005492344,IDENTITY,,True,3,1000,285,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,DGGGY,False,SUCCEEDED,eos,149,4,0.997785876,IDENTITY,,True,3,1000,0,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,DLYDZ,True,SUCCEEDED,eos,150,5,1.028202043,IDENTITY,,True,3,857,571,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,DZQZI,False,SUCCEEDED,eos,154,6,1.055358015,IDENTITY,,True,3,571,142,0,8
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,DUFNX,False,SUCCEEDED,eos,147,4,0.966758412,IDENTITY,,True,3,1000,571,0,8
