study,request_id,family,full_correct_sequence,candidate_correct_sequence,full_unique_outputs,candidate_unique_outputs,per_pair_union_sequence,conservative_oracle_correct
negative-calibration-study04,r017,record-updates,00,00,1,1,00,False
negative-calibration-study04,r018,record-lookup,00,00,1,1,00,False
negative-calibration-study04,r019,reference-chain,00,11,1,1,11,True
negative-calibration-study04,r020,record-updates,00,00,1,1,00,False
negative-calibration-study04,r021,record-lookup,11,11,1,1,11,True
negative-calibration-study04,r022,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r023,record-updates,00,00,1,1,00,False
negative-calibration-study04,r024,record-lookup,11,00,1,1,11,True
negative-calibration-study04,r025,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r026,record-updates,00,00,1,1,00,False
negative-calibration-study04,r027,record-lookup,00,11,1,1,11,True
negative-calibration-study04,r028,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r029,record-updates,00,00,1,1,00,False
negative-calibration-study04,r030,record-lookup,00,00,1,1,00,False
negative-calibration-study04,r031,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r000,record-lookup,00,00,1,1,00,False
negative-budget-control-study04,r001,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r002,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r003,record-lookup,00,00,1,1,00,False
negative-budget-control-study04,r004,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r005,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r006,record-lookup,00,00,1,1,00,False
negative-budget-control-study04,r007,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r008,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r009,record-lookup,00,00,1,1,00,False
negative-budget-control-study04,r010,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r011,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r012,record-lookup,00,00,1,1,00,False
negative-budget-control-study04,r013,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r014,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r015,record-lookup,00,00,1,1,00,False
negative-budget-control-study04,r016,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r017,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r018,record-lookup,11,00,1,1,11,True
negative-budget-control-study04,r019,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r020,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r021,record-lookup,00,00,1,1,00,False
negative-budget-control-study04,r022,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r023,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r024,record-lookup,11,00,1,1,11,True
negative-budget-control-study04,r025,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r026,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r027,record-lookup,11,00,1,1,11,True
negative-budget-control-study04,r028,reference-chain,00,00,1,1,00,False
negative-budget-control-study04,r029,record-updates,00,00,1,1,00,False
negative-budget-control-study04,r030,record-lookup,11,00,1,1,11,True
negative-budget-control-study04,r031,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r000,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r001,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r002,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r003,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r004,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r005,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r006,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r007,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r008,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r009,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r010,reference-chain,00,11,1,1,11,True
negative-confirm-slice-study04,r011,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r012,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r013,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r014,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r015,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r016,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r017,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r018,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r019,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r020,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r021,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r022,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r023,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r024,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r025,reference-chain,00,11,1,1,11,True
negative-confirm-slice-study04,r026,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r027,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r028,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r029,record-updates,11,00,1,1,11,True
negative-confirm-slice-study04,r030,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r031,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r032,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r033,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r034,reference-chain,11,00,1,1,11,True
negative-confirm-slice-study04,r035,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r036,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r037,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r038,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r039,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r040,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r041,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r042,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r043,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r044,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r045,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r046,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r047,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r048,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r049,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r050,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r051,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r052,reference-chain,00,11,1,1,11,True
negative-confirm-slice-study04,r053,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r054,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r055,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r056,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r057,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r058,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r059,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r060,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r061,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r062,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r063,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r064,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r065,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r066,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r067,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r068,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r069,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r070,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r071,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r072,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r073,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r074,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r075,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r076,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r077,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r078,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r079,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r080,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r081,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r082,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r083,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r084,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r085,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r086,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r087,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r088,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r089,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r090,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r091,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r092,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r093,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r094,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r095,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r096,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r097,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r098,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r099,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r100,reference-chain,00,11,1,1,11,True
negative-confirm-slice-study04,r101,record-updates,00,11,1,1,11,True
negative-confirm-slice-study04,r102,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r103,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r104,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r105,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r106,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r107,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r108,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r109,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r110,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r111,record-lookup,11,00,1,1,11,True
negative-confirm-slice-study04,r112,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r113,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r114,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r115,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r116,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r117,record-lookup,00,11,1,1,11,True
negative-confirm-slice-study04,r118,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r119,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r120,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r121,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r122,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r123,record-lookup,11,11,1,1,11,True
negative-confirm-slice-study04,r124,reference-chain,00,00,1,1,00,False
negative-confirm-slice-study04,r125,record-updates,00,00,1,1,00,False
negative-confirm-slice-study04,r126,record-lookup,00,00,1,1,00,False
negative-confirm-slice-study04,r127,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r000,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r001,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r002,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r003,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r004,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r005,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r006,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r007,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r008,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r009,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r010,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r011,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r012,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r013,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r014,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r015,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r016,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r017,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r018,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r019,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r020,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r021,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r022,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r023,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r024,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r025,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r026,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r027,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r028,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r029,record-updates,11,11,1,1,11,True
negative-confirm-simple-study04,r030,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r031,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r032,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r033,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r034,reference-chain,11,11,1,1,11,True
negative-confirm-simple-study04,r035,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r036,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r037,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r038,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r039,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r040,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r041,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r042,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r043,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r044,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r045,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r046,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r047,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r048,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r049,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r050,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r051,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r052,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r053,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r054,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r055,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r056,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r057,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r058,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r059,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r060,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r061,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r062,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r063,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r064,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r065,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r066,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r067,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r068,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r069,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r070,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r071,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r072,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r073,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r074,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r075,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r076,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r077,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r078,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r079,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r080,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r081,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r082,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r083,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r084,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r085,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r086,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r087,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r088,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r089,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r090,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r091,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r092,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r093,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r094,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r095,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r096,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r097,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r098,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r099,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r100,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r101,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r102,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r103,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r104,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r105,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r106,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r107,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r108,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r109,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r110,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r111,record-lookup,11,00,1,1,11,True
negative-confirm-simple-study04,r112,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r113,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r114,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r115,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r116,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r117,record-lookup,00,11,1,1,11,True
negative-confirm-simple-study04,r118,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r119,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r120,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r121,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r122,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r123,record-lookup,11,11,1,1,11,True
negative-confirm-simple-study04,r124,reference-chain,00,00,1,1,00,False
negative-confirm-simple-study04,r125,record-updates,00,00,1,1,00,False
negative-confirm-simple-study04,r126,record-lookup,00,00,1,1,00,False
negative-confirm-simple-study04,r127,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r000,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r001,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r002,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r003,record-lookup,00,00,1,1,00,False
negative-confirm-learned-study04,r004,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r005,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r006,record-lookup,00,00,1,1,00,False
negative-confirm-learned-study04,r007,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r008,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r009,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r010,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r011,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r012,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r013,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r014,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r015,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r016,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r017,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r018,record-lookup,00,00,1,1,00,False
negative-confirm-learned-study04,r019,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r020,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r021,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r022,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r023,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r024,record-lookup,00,00,1,1,00,False
negative-confirm-learned-study04,r025,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r026,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r027,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r028,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r029,record-updates,11,11,1,1,11,True
negative-confirm-learned-study04,r030,record-lookup,00,00,1,1,00,False
negative-confirm-learned-study04,r031,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r032,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r033,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r034,reference-chain,11,11,1,1,11,True
negative-confirm-learned-study04,r035,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r036,record-lookup,00,00,1,1,00,False
negative-confirm-learned-study04,r037,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r038,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r039,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r040,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r041,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r042,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r043,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r044,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r045,record-lookup,00,00,1,1,00,False
negative-confirm-learned-study04,r046,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r047,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r048,record-lookup,11,11,1,1,11,True
negative-confirm-learned-study04,r049,reference-chain,00,00,1,1,00,False
negative-confirm-learned-study04,r050,record-updates,00,00,1,1,00,False
negative-confirm-learned-study04,r051,record-lookup,11,11,1,1,11,True
